recorded_at,asset_id,market,outcome,size,average_price
2025-12-24T13:13:52.447980+00:00,59523542519371967471782044998057198139651955401985114887505784195757820081863,btc-updown-15m-1766581200,Down,8981.5628,0.7171246296602185
2025-12-24T13:13:52.449472+00:00,59523542519371967471782044998057198139651955401985114887505784195757820081863,btc-updown-15m-1766581200,Down,9000.5628,0.7176795540741069
2025-12-24T13:13:53.479260+00:00,59523542519371967471782044998057198139651955401985114887505784195757820081863,btc-updown-15m-1766581200,Down,9019.5628,0.718232140555637
2025-12-24T13:13:53.480981+00:00,59523542519371967471782044998057198139651955401985114887505784195757820081863,btc-updown-15m-1766581200,Down,9038.5628,0.7187824038485405
2025-12-24T13:13:53.482608+00:00,59523542519371967471782044998057198139651955401985114887505784195757820081863,btc-updown-15m-1766581200,Down,9057.5628,0.7193303585728376
2025-12-24T13:13:54.520207+00:00,59523542519371967471782044998057198139651955401985114887505784195757820081863,btc-updown-15m-1766581200,Down,9076.5628,0.719876019226132
2025-12-24T13:13:54.521853+00:00,59523542519371967471782044998057198139651955401985114887505784195757820081863,btc-updown-15m-1766581200,Down,9095.5628,0.7204194001848896
2025-12-24T13:13:54.523318+00:00,59523542519371967471782044998057198139651955401985114887505784195757820081863,btc-updown-15m-1766581200,Down,9114.5628,0.7209605157057006
2025-12-24T13:13:54.524860+00:00,41224602431761170214343847762986695997688430220196266147574246898156731629476,bitcoin-up-or-down-december-24-8am-et,Down,1675.4717999999998,0.5973380242150301
2025-12-24T13:13:54.529527+00:00,41224602431761170214343847762986695997688430220196266147574246898156731629476,bitcoin-up-or-down-december-24-8am-et,Down,1697.4717999999998,0.5986685697164454
2025-12-24T13:13:54.534967+00:00,41224602431761170214343847762986695997688430220196266147574246898156731629476,bitcoin-up-or-down-december-24-8am-et,Down,1719.4717999999998,0.5999650675515587
2025-12-24T13:13:54.539390+00:00,41224602431761170214343847762986695997688430220196266147574246898156731629476,bitcoin-up-or-down-december-24-8am-et,Down,1741.4717999999998,0.6012288080920979
2025-12-24T13:13:54.543639+00:00,41224602431761170214343847762986695997688430220196266147574246898156731629476,bitcoin-up-or-down-december-24-8am-et,Down,1763.4717999999998,0.6024610173182244
2025-12-24T13:13:54.547423+00:00,70556821523425034122920793682817588144921171172900861392430883970634505453723,bitcoin-up-or-down-december-24-8am-et,Up,1590.8921,0.4104878432547373
2025-12-24T13:13:54.552076+00:00,41224602431761170214343847762986695997688430220196266147574246898156731629476,bitcoin-up-or-down-december-24-8am-et,Down,1785.4717999999998,0.6042789444448242
2025-12-24T13:13:54.556869+00:00,41224602431761170214343847762986695997688430220196266147574246898156731629476,bitcoin-up-or-down-december-24-8am-et,Down,1807.4717999999998,0.6060526170532787
2025-12-24T13:13:54.561156+00:00,41224602431761170214343847762986695997688430220196266147574246898156731629476,bitcoin-up-or-down-december-24-8am-et,Down,1829.4717999999998,0.607783631668988
2025-12-24T13:13:54.564931+00:00,41224602431761170214343847762986695997688430220196266147574246898156731629476,bitcoin-up-or-down-december-24-8am-et,Down,1851.4717999999998,0.6094735089348919
2025-12-24T13:13:54.570506+00:00,66869989977215855115584537496160479290976116226406202772590971052894806105396,ethereum-up-or-down-december-24-8am-et,Up,279.6934,0.3328948936943095
