recorded_at,tx_hash,asset_id,market,outcome,side,size,price
2025-12-24T13:13:47.189571+00:00,0xda5e91e6dd7ee10b9c047060bc89b5cbfb09fc5aa13c8f90bbbd14eb9e909551,41224602431761170214343847762986695997688430220196266147574246898156731629476,,Down,buy,22,0.56
2025-12-24T13:13:47.189607+00:00,0x7e7b76b29683aae66fca5990cfcb968c529b39d1fa55fc4161f3dc2dd079c804,41224602431761170214343847762986695997688430220196266147574246898156731629476,,Down,buy,22,0.56
2025-12-24T13:13:47.189642+00:00,0xe530aed2fa24e94db345a271fb576c62b0b06e61503ae6c553c6488f0f063853,41224602431761170214343847762986695997688430220196266147574246898156731629476,,Down,buy,22,0.56
2025-12-24T13:13:47.189677+00:00,0xdb47bfa60318852850db153c52fa039703a966ed8a437eed42dbd1477e1f9c1d,29449204934670796679348416648297836559626778688713727899280975036876168333710,,Up,buy,15,0.13
2025-12-24T13:13:47.189713+00:00,0xee382bd82df1ede309e9c4741aea70e7ff2ec430be19280b97cecd9039222a54,59523542519371967471782044998057198139651955401985114887505784195757820081863,,Down,buy,23,0.8
2025-12-24T13:13:47.189748+00:00,0xa2a14b809943173f6524d8fe863f1b131b80f5d6cd1761a8c27bc08191597d78,29449204934670796679348416648297836559626778688713727899280975036876168333710,,Up,buy,15,0.13
2025-12-24T13:13:47.189784+00:00,0xdf1dada85d79e02044c8204fe62e23343ff5e662471b69a0a382538a6c82a0aa,70556821523425034122920793682817588144921171172900861392430883970634505453723,,Up,buy,22,0.47
2025-12-24T13:13:47.189840+00:00,0x7834952e8c80dbfb01e40b93790025a6a66207ca90223b226c9be7b062c6e93a,70556821523425034122920793682817588144921171172900861392430883970634505453723,,Up,buy,22,0.45
2025-12-24T13:13:47.189889+00:00,0x24a537faceeb1ae345e897cd78ad0893dda0d3205e53f10ac02ea23d564e79a0,29449204934670796679348416648297836559626778688713727899280975036876168333710,,Up,buy,15,0.15
2025-12-24T13:13:47.189929+00:00,0x8e93e370d20a4263407cb059655f8169498fb3b61c03e14722e7996d9c4189b7,29449204934670796679348416648297836559626778688713727899280975036876168333710,,Up,buy,15,0.15
2025-12-24T13:13:47.189969+00:00,0xaef15c8846d6594b6dc2bc9627d29b122b66310e38f27ee516f74a3147194e10,70556821523425034122920793682817588144921171172900861392430883970634505453723,,Up,buy,11.43,0.45
2025-12-24T13:13:47.190008+00:00,0xd691e4e88a6faf387cfe0c96253a5abfe049c57ee9299ebbd70cde18dee7eeba,29449204934670796679348416648297836559626778688713727899280975036876168333710,,Up,buy,15,0.15
2025-12-24T13:13:47.190046+00:00,0x70288ef38cc59e83d49f35561ec531e6d5dd0a33bdd50d031a2fade1b51c1ee6,70556821523425034122920793682817588144921171172900861392430883970634505453723,,Up,buy,20,0.46
2025-12-24T13:13:47.190083+00:00,0x259ff8a4cc17513e10703ff4e4dcc5135cb6f77139cde61a5e561c3c1c50497b,114455353002455798540301059548285066786371763449417202709804466763877845855736,,Down,buy,15,0.85
2025-12-24T13:13:47.190122+00:00,0xe32a1d9e9ea72ca1166c9e538a695e80b56aa6675ea980ca902a97e4c8ef51fa,41224602431761170214343847762986695997688430220196266147574246898156731629476,,Down,buy,22,0.56
2025-12-24T13:13:47.190159+00:00,0x4698f2a2e29d5857cd715092577de5b5938f59838eac6b4e8575c5a7baa3cfc0,41224602431761170214343847762986695997688430220196266147574246898156731629476,,Down,buy,22,0.56
2025-12-24T13:13:47.190196+00:00,0xed7c6b0771fd58eef97e989006f2d57d6e300a2b3c9d9c45c68b39c877f6349b,59523542519371967471782044998057198139651955401985114887505784195757820081863,,Down,buy,23,0.88
2025-12-24T13:13:47.190235+00:00,0x2d5d34a32186dc0fedcfd6da0520f81b0b68d57b4dcab7a26b76d34d7de82f1e,41224602431761170214343847762986695997688430220196266147574246898156731629476,,Down,buy,22,0.56
2025-12-24T13:13:47.190272+00:00,0x1d606f33de294540f2de36ec338faf8c470550d7bbea15072d66eb79418eb747,41224602431761170214343847762986695997688430220196266147574246898156731629476,,Down,buy,22,0.56
2025-12-24T13:13:47.190309+00:00,0x524ba820efe0f94121755f44ee85d18d0c1e066bb9a2f229b85c755a6eeecc73,114455353002455798540301059548285066786371763449417202709804466763877845855736,,Down,buy,15,0.85
2025-12-24T13:13:47.190345+00:00,0x6ee61c6efd8d6cd717310841916db0907191f1971c594a1c9ddc2991ce106472,114455353002455798540301059548285066786371763449417202709804466763877845855736,,Down,buy,15,0.85
2025-12-24T13:13:47.190381+00:00,0x873fa97bddfc6e43af1c5b2fc7c346846f1d648e2d89aec36fc073492377e2c9,59523542519371967471782044998057198139651955401985114887505784195757820081863,,Down,buy,23,0.82
2025-12-24T13:13:47.190418+00:00,0x7c7e39e59180b7071bf3da10b6b6e6cf790b19567b389c9dc26b7df47f50e8d6,41224602431761170214343847762986695997688430220196266147574246898156731629476,,Down,buy,22,0.56
2025-12-24T13:13:47.190453+00:00,0xa4387cdf8112a725b799591d540f10140a0c2aa86be482eecfe730d4b6448eb0,114455353002455798540301059548285066786371763449417202709804466763877845855736,,Down,buy,15,0.85
2025-12-24T13:13:47.190489+00:00,0xf973f05539759ba5a4f31d0b1f2ac5f6338401df5218357e81b9768fc4d4163c,41224602431761170214343847762986695997688430220196266147574246898156731629476,,Down,buy,22,0.56
2025-12-24T13:13:47.190525+00:00,0x74ca56151a1b59871f9fe8243ca71a87923d960bdeb2ad10c2073b36c011a326,114455353002455798540301059548285066786371763449417202709804466763877845855736,,Down,buy,15,0.85
2025-12-24T13:13:47.190561+00:00,0x7f0b510ca80e07e9247da19e9b9c86429fe12eb6e4f01605e98200c560b306a2,114455353002455798540301059548285066786371763449417202709804466763877845855736,,Down,buy,15,0.85
2025-12-24T13:13:47.190598+00:00,0x23813fa21d7295262e0c67e85f1e982ecd52e034786691b1d42ab31e80965970,114455353002455798540301059548285066786371763449417202709804466763877845855736,,Down,buy,15,0.85
2025-12-24T13:13:47.190634+00:00,0xb1a9d6e39bd76d46b0ec5830c1ea56c3a3d0ec2f429a18520202d3e100b25cea,41224602431761170214343847762986695997688430220196266147574246898156731629476,,Down,buy,22,0.56
2025-12-24T13:13:47.190670+00:00,0x4110d5305e4dc56c883322d24145213a7fcf5cd716f79136a2c69b9c34c9a816,41224602431761170214343847762986695997688430220196266147574246898156731629476,,Down,buy,22,0.56
2025-12-24T13:13:47.190706+00:00,0x7e0bbc15860eb1635f17bfc4fe5ddc437d3c368398e90fe551a5bfb78383741d,59523542519371967471782044998057198139651955401985114887505784195757820081863,,Down,buy,23,0.77
2025-12-24T13:13:47.190743+00:00,0x1b7a24e4cd73cbf494c4a593c7d19fb97501e3a060d70da0c740c73b85c19abc,55791127387894991495647773577557657062519416327423065717239833358909110657454,,Up,buy,23,0.25
2025-12-24T13:13:47.190780+00:00,0x2eb0d5c53f5ceee9974209fde9847e5dd176ae1572fa006baca5f45ebec0c9bf,59523542519371967471782044998057198139651955401985114887505784195757820081863,,Down,buy,23,0.75
2025-12-24T13:13:47.190816+00:00,0xa84aebd13ec105741fd414c4f512f4d5a30961728724a926b6ebfe848737dcbc,59523542519371967471782044998057198139651955401985114887505784195757820081863,,Down,buy,23,0.75
2025-12-24T13:13:47.190851+00:00,0x7b6be0a783a11d52a176dafafb877dc4db352c401228a218cb62dbb7d015572d,55791127387894991495647773577557657062519416327423065717239833358909110657454,,Up,buy,23,0.26
2025-12-24T13:13:47.190889+00:00,0x76535eeea168a5a3ade27def9d462c2a416a04166eb706d2e4abeb3ffcc05de4,55791127387894991495647773577557657062519416327423065717239833358909110657454,,Up,buy,23,0.26
2025-12-24T13:13:47.190926+00:00,0xc4da15d28162823be04beaa45a58426ec427d0bf17de34c20ab541dca731559a,29449204934670796679348416648297836559626778688713727899280975036876168333710,,Up,buy,15,0.23
2025-12-24T13:13:47.190964+00:00,0x3716da87e1085c45d924fe29d3f388ec5a5078aad144cd5c5ddf721ea4a10420,114455353002455798540301059548285066786371763449417202709804466763877845855736,,Down,buy,16,0.78
2025-12-24T13:13:47.191000+00:00,0x3e5ed0aaa5002f56ce2cf382345eabc5cb7ee77e0661f455f53c3e4ff20941d2,114455353002455798540301059548285066786371763449417202709804466763877845855736,,Down,buy,16,0.78
2025-12-24T13:13:47.191036+00:00,0x360080e422cd4c17cb450f775140fd7b60cebafc6ed5d7bfd2e0ea50cee2a3ac,29449204934670796679348416648297836559626778688713727899280975036876168333710,,Up,buy,16,0.26
2025-12-24T13:13:47.191071+00:00,0xd7f912a94f2966314d0b944f330c517f49794c805c8291948029ae2db08743c9,55791127387894991495647773577557657062519416327423065717239833358909110657454,,Up,buy,18.94,0.26
2025-12-24T13:13:47.191107+00:00,0xed556b47ed6671b8d2efd8f63aa81ebe153c83b1be67cf00900def07a349862b,55791127387894991495647773577557657062519416327423065717239833358909110657454,,Up,buy,23,0.27
2025-12-24T13:13:47.191143+00:00,0x747178c231fbf7b57ebf5ce02b51402ed8a88667a523d8dc8f50f6b480336251,59523542519371967471782044998057198139651955401985114887505784195757820081863,,Down,buy,23,0.7534782608695653
2025-12-24T13:13:47.191180+00:00,0x50da129489299cb7bab7663cc8fa98fd9efab842f33dcfde41cd17c0854bf388,59523542519371967471782044998057198139651955401985114887505784195757820081863,,Down,buy,23,0.74
2025-12-24T13:13:47.191216+00:00,0x6d5128d602baf2897d377ae2e4e19ae6c4edb6e7ff3edfc739ea9b74041b6dbc,59523542519371967471782044998057198139651955401985114887505784195757820081863,,Down,buy,23,0.74
2025-12-24T13:13:47.191251+00:00,0x128e6038380e39fd206af3cdae2d71dc57f2ab0f18695d972fdfbecdf4d03a6b,55791127387894991495647773577557657062519416327423065717239833358909110657454,,Up,buy,23,0.2
